NO_SR|NOM_SR|LOCALISATN|ARROND|LONGITUDE|LATITUDE
R0157|Module de jeux #1 Parc D'Iberville|1er, 600 Rue|1|-71.220808|46.821996
R0158|Module de jeux #2 Parc D'Iberville|1er, 600 Rue|1|-71.220448|46.821557
R0159|Module de jeux #3 Parc D'Iberville|1er, 600 Rue|1|-71.219697|46.821238
R0178|Module de jeu #1 Parc de l'Anse-à-Cartier|Jacques-Cartier, 45 Rue / à l'arrière du pavillon de service|1|-71.235286|46.824531
R0179|Balançoire Parc de l'Anse-à--Cartier|Jacques-Cartier, 45 Rue / au S-E du pavillon de service|1|-71.234695|46.824481
R0320|Module de jeux Parc des Caravelles|Îlots, Rue des / face au 1270|3|-71.337636|46.751883
R0322|Balançoire Parc Prénoveau|Prénoveau, Rue / à l'Est du 219|4|-71.307091|46.893202
R0389|Balançoire Parc de la Petite-Terre|Arnois, Rue / Face au 1048|3|-71.348600|46.759089
R0398|Module de jeu Parc du Fort|Jean-Juchereau, Rue /entre le 906 et 907|3|-71.357116|46.765350
R0402|Balançoire Parc Robitaille|De La Peltrie, 1585 Rue|3|-71.359253|46.780313
R0403|Module de jeu (vert/jaune) Parc Robitaille|De La Peltrie, 1585 Rue|3|-71.359034|46.780531
R0404|Module de jeu (vert) Parc Robitaille|De La Peltrie, 1585 Rue|3|-71.358887|46.780397
R0406|Module de jeu Parc Bertin|Bertin, Rue / Extrémité S-E|3|-71.359319|46.755645
R0407|Module de jeu Ilot Église Saint-Grégoire-de-Montmorency|Monseigneur-Marc-Leclerc, 2 Rue|5|-71.155410|46.878139
R0416|Module de jeux Parc Notre-Dame-de-la-Garde|Champlain, Boulevard|1|-71.210690|46.801071
R0429|Balançoire Nord Parc d'Iberville|Iberville, Rue / face au 1680|6|-71.421798|46.862279
R0430|Module de jeu Parc d'Iberville|Iberville, Rue / face au 1680|6|-71.421547|46.862155
R0431|Balançoire Sud Parc d'Iberville|Iberville, Rue / Face au 1680|6|-71.421467|46.862102
R0433|Module de jeu Parc aux Quatre-Vents|Guillaume-Bresse, 1140 Rue|6|-71.328645|46.864620
R0435|Module de jeu Parc Bergeville|Saint-Louis, Chemin / face au 1678|3|-71.245713|46.782423
R0436|Module de jeu Parc Cambert|Cambert, Rue / face au 227|5|-71.214303|46.903714
R0477|Module de jeu N-O Parc des Écores|Charles-A.-Roy, 4001 Rue|3|-71.352661|46.760975
R0478|Module de jeu S-E Parc des Écores|Charles-A.-Roy, 4001 Rue|3|-71.352132|46.760592
R0484|Modules de jeu Parc Sainte-Geneviève|D'Amours, 3200 Avenue|3|-71.321055|46.775358
R0485|Modules de jeu Parc Raymond-De Rosa|Neilson, 3251 Boulevard|3|-71.309633|46.756790
R0504|Module de jeu Parc des Sureaux|Actif, Rue de l' / face au 9180|6|-71.358823|46.829005
R0507|Module de jeu Parc Jules-Émond|Collégiens, 1045 Rue des|6|-71.427768|46.841107
